word,reading,meaning,partOfSpeech
"ずらっと","ずらり","（人或物）排列状","副"
"チョーク","チョーク","粉笔","名"
"糊[のり]","糊[のり]","糨糊，黏着剂","名"
"ばっちり","ばっちり","（俗语）很好地做完","副"
"雛祭り","ひな祭り","女儿节","名"
"フィルム","フィルム","胶卷","名"
"ぽっちゃり","ぽっちゃり","（年轻女性等）胖乎乎","副・自動3"
"レコード","レコード","纪录；唱片","名"
"飲食","飲食","饮食","名・自他動3"
"園長","園長","（幼儿园、动物园等的）园长","名"
"花道","華道","花道，插花艺术","名"
"街","街","大街","名"
"滑る","滑る","滑行；打滑","自動1"
"企業","企業","企业","名"
"鶏肉","鶏肉","鸡肉","名"
"月見","月見","赏月；使用整个蛋黄的料理","名"
"戸","戸","窗户，门","名"
"後ろ足","後ろ足","后腿","名"
"液体は「注す」とも書くが、今は「差す」を使う","差す","照射；撑，打；注入（液体）","自他動1"
"再来月","再来月","下下个月","名"
"次","次","下一个，下面","名"
"自己","自己","自己","名"
"子供の成長を祝い、将来を祈願する行事。男子は三歳と五歳、女子は三歳と七歳になった年の十一月十五日に行い、氏神などに参拝する","七五三","七五三节","名"
"神","神","神，上帝","名"
"数","数","数量；多数","名"
"数々","数々","种种，许多","副・名"
"先","先","顶，尖；前方；……（目的）地","名"
"草","草","草，杂草","名"
"代わり","代わり","代替，替代","名"
"池","池","水池，水塘","名"
"定価","定価","规定的价格","名"
"天候","天候","天气，气候","名"
"年金","年金","养老金","名"
"麺","麺","面条","名"
"幼稚園","幼稚園","幼儿园","名"
"浴衣","浴衣","夏季简便和服；浴衣","名"
"あちこち","あちこち","这边那边，到处","代"
"あちらこちら","あちらこちら","这边那边，到处","ナ形・代・名"
"アナウンサー","アナウンサー","播音员","名"
"お陰","おかげ","恩惠；幸亏；托福","名"
"ゲート","ゲート","大门","名"
"ごくごく","ごくごく","咕嘟咕嘟地大口喝水时发出的声音","副"
"こそこそ","こそこそ","悄悄地；偷偷摸摸地","副・自動3"
"ころころ","ころころ","圆滚滚；小的东西滚动状；朗朗的笑声","副・自動3"
"一昨昨日","さきおととい","大前天","名"
"暫く","しばらく","暂时，不久；过了一会儿，好久","副"
"スクリーン","スクリーン","（电影等的）屏幕","名"
"掏摸；盗人の意では「掏児」とも","すり","小偷，扒手","名"
"そのため","そのため","因此，所以；为此","接"
"それぞれ","それぞれ","各个，各自，分别","名・副"
